"","participant","list","gender","age","itemNr","ID","expression","response"
"211","6","BA","f","35-",11,"hechauka1","hechauka",5
"212","6","BA","f","35-",12,"kuaa2","kuaa",5
"213","6","BA","f","35-",13,"cos1","cos",5
"214","6","BA","f","35-",14,"hendu2","hendu",5
"215","6","BA","f","35-",15,"nte1","nte",5
"216","6","BA","f","35-",16,"juhu2","juhu",5
"217","6","BA","f","35-",17,"hechakuaa1","hechakuaa",5
"218","6","BA","f","35-",18,"hei2","hei",5
"219","6","BA","f","35-",19,"NRRC1","NRRC",5
"220","6","BA","f","35-",20,"controlA3","control",3
"221","6","BA","f","35-",21,"controlB1","control",5
"223","6","BA","f","35-",23,"moa1","moa",3
"224","6","BA","f","35-",24,"possNP2","possNP",5
"225","6","BA","f","35-",25,"kuaauka1","kuaauka",5
"226","6","BA","f","35-",26,"haimete2","haimete",5
"227","6","BA","f","35-",27,"hecha1","hecha",5
"228","6","BA","f","35-",28,"mombeu2","mombeu",5
"229","6","BA","f","35-",29,"topa1","topa",5
"230","6","BA","f","35-",30,"controlB2","control",3
"231","6","BA","f","35-",31,"hechauka2","hechauka",5
"232","6","BA","f","35-",32,"kuaa1","kuaa",3
"233","6","BA","f","35-",33,"cos2","cos",3
"234","6","BA","f","35-",34,"hendu1","hendu",5
"235","6","BA","f","35-",35,"nte2","nte",5
"236","6","BA","f","35-",36,"juhu1","juhu",3
"237","6","BA","f","35-",37,"hechakuaa2","hechakuaa",5
"238","6","BA","f","35-",38,"hei1","hei",5
"239","6","BA","f","35-",39,"NRRC2","NRRC",5
"240","6","BA","f","35-",40,"controlB3","control",3
"241","7","AB","f","35-",1,"controlA1","control",3
"242","7","AB","f","35-",2,"vya1","vya",3
"243","7","AB","f","35-",3,"moa2","moa",3
"244","7","AB","f","35-",4,"possNP1","possNP",5
"245","7","AB","f","35-",5,"kuaauka2","kuaauka",5
"246","7","AB","f","35-",6,"haimete1","haimete",5
"247","7","AB","f","35-",7,"hecha2","hecha",3
"248","7","AB","f","35-",8,"mombeu1","mombeu",3
"249","7","AB","f","35-",9,"topa2","topa",3
"250","7","AB","f","35-",10,"controlA2","control",3
"251","7","AB","f","35-",11,"hechauka1","hechauka",3
"252","7","AB","f","35-",12,"kuaa2","kuaa",3
"253","7","AB","f","35-",13,"cos1","cos",3
"254","7","AB","f","35-",14,"hendu2","hendu",3
"255","7","AB","f","35-",15,"nte1","nte",3
